timestamp,SHC_code,target_temp_min,target_temp_max,current_internal_temp,door_open_count_1h,cumulative_door_open_duration_1h,ambient_dry_bulb_temp,external_relative_humidity,weather_condition,equipment_age_years,compressor_duty_cycle_ratio_2h,defrost_cycle_active,cargo_volume_utilization_ratio,excursion_risk_score
"02:03:2025, 03:18",FRO,-30.00,-18.00,-25.92,6,212,30.86,35.54,Clear,4.99,1.00,0,0.70,0.33
"02:03:2025, 03:39",CRT,15.00,25.00,20.11,13,378,31.36,27.64,Clear,6.08,1.00,0,0.69,0.45
"02:03:2025, 04:00",PIL,2.00,8.00,5.16,0,9,31.00,32.68,Clear,6.11,0.99,0,0.70,0.47
"02:03:2025, 04:21",COL,2.00,8.00,5.71,15,232,30.83,31.52,Clear,4.75,1.00,0,0.70,0.55
"02:03:2025, 04:42",FRO,-30.00,-18.00,-25.81,9,327,30.86,24.09,Clear,5.35,1.00,0,0.63,0.35
"02:03:2025, 05:03",CRT,15.00,25.00,19.89,7,159,32.87,37.56,Clear,4.25,1.00,0,0.59,0.42
"02:03:2025, 05:24",PIL,2.00,8.00,5.82,7,242,31.92,40.96,Clear,5.54,1.00,0,0.67,0.57
"02:03:2025, 05:45",COL,2.00,8.00,5.21,0,12,31.56,27.42,Clear,6.10,1.00,0,0.76,0.47
"02:03:2025, 06:06",FRO,-30.00,-18.00,-26.05,0,0,32.84,36.49,Clear,5.34,1.00,0,0.62,0.32
"02:03:2025, 06:27",CRT,15.00,25.00,20.08,9,300,33.17,29.66,Clear,5.48,1.00,0,0.74,0.43
"02:03:2025, 06:48",PIL,2.00,8.00,5.92,10,314,30.96,26.60,Clear,6.59,1.00,0,0.72,0.58
"02:03:2025, 07:09",COL,2.00,8.00,6.33,11,443,32.04,27.01,Clear,4.80,1.00,0,0.62,0.65
"02:03:2025, 07:30",FRO,-30.00,-18.00,-25.94,5,134,32.59,25.65,Clear,5.27,1.00,0,0.78,0.32
"02:03:2025, 07:51",CRT,15.00,25.00,19.71,2,62,31.22,45.76,Clear,6.79,1.00,0,0.76,0.39
"02:03:2025, 08:12",PIL,2.00,8.00,10.30,21,690,30.22,37.25,Clear,6.88,1.00,0,0.70,1.00
"02:03:2025, 08:33",COL,2.00,8.00,6.26,14,415,31.97,44.99,Clear,5.85,1.00,0,0.72,0.63
"02:03:2025, 08:54",FRO,-30.00,-18.00,-25.77,15,312,32.58,52.83,Clear,5.27,1.00,0,0.68,0.35
"02:03:2025, 09:15",CRT,15.00,25.00,19.98,16,269,31.59,41.51,Clear,5.21,1.00,0,0.67,0.43
"02:03:2025, 09:36",PIL,2.00,8.00,6.03,15,383,30.12,39.73,Clear,4.36,1.00,0,0.67,0.60
"02:03:2025, 09:57",COL,2.00,8.00,6.01,13,318,32.00,29.41,Clear,4.79,1.00,0,0.67,0.60
"02:03:2025, 10:18",FRO,-30.00,-18.00,-25.62,14,565,29.84,41.16,Clear,6.25,1.00,0,0.60,0.37
"02:03:2025, 10:39",CRT,15.00,25.00,20.05,11,401,29.23,24.82,Clear,5.69,1.00,0,0.70,0.44
"02:03:2025, 11:00",PIL,2.00,8.00,5.41,9,167,29.17,28.77,Clear,5.58,1.00,0,0.89,0.49
"02:03:2025, 11:21",COL,2.00,8.00,5.59,9,208,30.09,39.30,Clear,4.03,1.00,0,0.59,0.55
"02:03:2025, 11:42",FRO,-30.00,-18.00,-25.90,13,315,28.05,43.25,Clear,5.08,1.00,0,0.66,0.34
"02:03:2025, 12:03",CRT,15.00,25.00,19.89,13,285,28.89,22.89,Clear,5.14,1.00,0,0.63,0.43
"02:03:2025, 12:24",PIL,2.00,8.00,5.76,10,372,27.14,25.28,Clear,6.27,1.00,0,0.76,0.56
"02:03:2025, 12:45",COL,2.00,8.00,5.91,8,377,28.81,44.05,Clear,5.18,1.00,0,0.62,0.59
"02:03:2025, 13:06",FRO,-30.00,-18.00,-26.10,8,150,26.60,30.56,Clear,6.55,1.00,0,0.80,0.31
"02:03:2025, 13:27",CRT,15.00,25.00,20.25,16,594,28.19,40.22,Clear,4.31,1.00,0,0.65,0.48
"02:03:2025, 13:48",PIL,2.00,8.00,5.72,15,368,26.71,30.87,Clear,5.66,1.00,0,0.87,0.54
"02:03:2025, 14:09",COL,2.00,8.00,5.40,8,269,25.87,54.49,Clear,4.68,1.00,0,0.70,0.51
"02:03:2025, 14:30",FRO,-30.00,-18.00,-25.73,18,546,26.72,28.81,Clear,6.09,1.00,0,0.82,0.35
"02:03:2025, 14:51",CRT,15.00,25.00,19.68,8,239,25.10,39.12,Clear,5.44,1.00,0,0.71,0.40
"02:03:2025, 15:12",PIL,2.00,8.00,5.25,8,252,24.53,45.73,Clear,4.64,1.00,0,0.74,0.49
"02:03:2025, 15:33",COL,2.00,8.00,5.68,13,397,25.30,46.17,Clear,6.21,1.00,0,0.57,0.57
"02:03:2025, 15:54",FRO,-30.00,-18.00,-25.95,12,336,25.98,25.52,Clear,5.16,1.00,0,0.71,0.33
"02:03:2025, 16:15",CRT,15.00,25.00,19.85,10,354,25.80,30.13,Clear,6.12,1.00,0,0.74,0.42
"02:03:2025, 16:36",PIL,2.00,8.00,5.54,12,385,24.03,52.27,Clear,5.53,1.00,0,0.59,0.55
"02:03:2025, 16:57",COL,2.00,8.00,5.53,11,349,24.96,48.62,Clear,6.76,1.00,0,0.78,0.53
"02:03:2025, 17:18",FRO,-30.00,-18.00,-26.11,13,206,24.44,27.96,Clear,5.90,1.00,0,0.76,0.31
"02:03:2025, 17:39",CRT,15.00,25.00,19.93,11,447,24.87,52.51,Clear,6.63,1.00,0,0.69,0.43
"02:03:2025, 18:00",PIL,2.00,8.00,6.07,17,595,24.07,29.59,Clear,5.36,1.00,0,0.62,0.63
"02:03:2025, 18:21",COL,2.00,8.00,5.81,15,501,23.69,39.80,Clear,5.21,1.00,0,0.78,0.57
"02:03:2025, 18:42",FRO,-30.00,-18.00,-25.96,11,384,24.06,52.99,Clear,6.59,1.00,0,0.80,0.33
"02:03:2025, 19:03",CRT,15.00,25.00,19.47,4,110,23.88,50.83,Clear,4.39,0.93,0,0.56,0.38
"02:03:2025, 19:24",PIL,2.00,8.00,4.86,3,137,23.20,31.78,Clear,5.01,0.94,0,0.55,0.46
"02:03:2025, 19:45",COL,2.00,8.00,5.84,10,359,23.99,53.18,Clear,7.59,1.00,0,0.65,0.56
"02:03:2025, 20:06",FRO,-30.00,-18.00,-26.15,5,181,24.09,29.28,Clear,5.32,0.99,0,0.75,0.31
"02:03:2025, 20:27",CRT,15.00,25.00,19.47,4,98,24.14,44.97,Clear,6.02,0.93,0,0.67,0.37
"02:03:2025, 20:48",PIL,2.00,8.00,5.51,8,178,25.62,25.02,Clear,7.19,1.00,0,0.68,0.50
"02:03:2025, 21:09",COL,2.00,8.00,4.69,1,0,25.41,43.62,Clear,5.07,0.88,0,0.71,0.41
"02:03:2025, 21:30",FRO,-30.00,-18.00,-26.10,3,58,25.15,24.67,Clear,7.19,1.00,0,0.76,0.29
"02:03:2025, 21:51",CRT,15.00,25.00,19.77,10,276,26.00,37.86,Clear,6.72,1.00,0,0.74,0.41
"02:03:2025, 22:12",PIL,2.00,8.00,5.62,8,339,26.41,48.32,Clear,5.47,1.00,0,0.78,0.54
"02:03:2025, 22:33",COL,2.00,8.00,5.20,4,173,26.36,45.02,Clear,6.57,1.00,0,0.83,0.47
"02:03:2025, 22:54",FRO,-30.00,-18.00,-25.98,8,302,25.88,33.06,Clear,5.88,1.00,0,0.65,0.33
"02:03:2025, 23:15",CRT,15.00,25.00,19.68,6,148,27.86,22.21,Clear,6.42,1.00,0,0.59,0.41
"02:03:2025, 23:36",PIL,2.00,8.00,5.59,5,151,27.42,47.73,Clear,7.49,1.00,0,0.73,0.50
"02:03:2025, 23:57",COL,2.00,8.00,5.32,6,195,27.16,42.88,Clear,5.91,1.00,0,0.74,0.49
"03:03:2025, 00:18",FRO,-30.00,-18.00,-25.96,7,252,28.09,33.41,Clear,5.21,1.00,0,0.67,0.33
"03:03:2025, 00:39",CRT,15.00,25.00,19.88,9,296,28.26,47.02,Clear,5.67,1.00,0,0.55,0.43
"03:03:2025, 01:00",PIL,2.00,8.00,5.45,9,218,28.02,27.40,Clear,4.01,1.00,0,0.77,0.51
"03:03:2025, 01:21",COL,2.00,8.00,5.51,6,222,28.64,43.60,Clear,5.60,1.00,0,0.62,0.53
"03:03:2025, 01:42",FRO,-30.00,-18.00,-26.11,6,97,27.97,54.47,Clear,5.22,1.00,0,0.79,0.30
"03:03:2025, 02:03",CRT,15.00,25.00,19.93,7,248,31.01,50.52,Clear,6.18,1.00,0,0.71,0.42
"03:03:2025, 02:24",PIL,2.00,8.00,5.44,7,138,30.40,47.11,Clear,6.14,1.00,0,0.64,0.52
"03:03:2025, 02:45",COL,2.00,8.00,5.60,8,200,30.50,48.29,Clear,4.96,1.00,0,0.71,0.53
"03:03:2025, 03:06",FRO,-30.00,-18.00,-25.85,8,281,30.80,24.12,Clear,4.64,1.00,0,0.59,0.35
"03:03:2025, 03:27",CRT,15.00,25.00,19.98,14,332,29.51,22.38,Clear,5.65,1.00,0,0.66,0.43
"03:03:2025, 03:48",PIL,2.00,8.00,5.43,5,102,31.38,47.74,Clear,6.13,1.00,0,0.72,0.50
"03:03:2025, 04:09",COL,2.00,8.00,5.38,4,106,30.65,42.40,Clear,6.21,1.00,0,0.86,0.48
"03:03:2025, 04:30",FRO,-30.00,-18.00,-25.90,8,231,30.76,40.73,Clear,5.57,1.00,0,0.80,0.33
"03:03:2025, 04:51",CRT,15.00,25.00,20.25,8,321,32.11,23.04,Clear,7.24,1.00,0,0.75,0.44
"03:03:2025, 05:12",PIL,2.00,8.00,6.30,9,411,32.60,24.64,Clear,5.37,1.00,0,0.73,0.63
"03:03:2025, 05:33",COL,2.00,8.00,5.40,3,92,31.38,39.37,Clear,5.50,1.00,0,0.74,0.50
"03:03:2025, 05:54",FRO,-30.00,-18.00,-25.60,9,378,31.85,40.33,Clear,7.51,1.00,0,0.65,0.35
"03:03:2025, 06:15",CRT,15.00,25.00,20.10,10,350,32.08,28.58,Clear,5.40,1.00,0,0.74,0.44
"03:03:2025, 06:36",PIL,2.00,8.00,6.71,12,462,31.66,33.42,Clear,7.06,1.00,0,0.60,0.68
"03:03:2025, 06:57",COL,2.00,8.00,5.75,9,213,31.97,51.72,Clear,4.50,1.00,0,0.68,0.56
"03:03:2025, 07:18",FRO,-30.00,-18.00,-25.92,4,140,32.90,46.19,Clear,6.91,1.00,0,0.76,0.32
"03:03:2025, 07:39",CRT,15.00,25.00,19.68,1,37,31.39,54.06,Clear,6.07,1.00,0,0.70,0.39
"03:03:2025, 08:00",PIL,2.00,8.00,6.06,14,338,32.00,33.85,Clear,3.53,1.00,0,0.63,0.61
"03:03:2025, 08:21",COL,2.00,8.00,5.93,7,274,32.28,47.52,Clear,4.57,1.00,0,0.70,0.58
"03:03:2025, 08:42",FRO,-30.00,-18.00,-25.85,14,297,30.37,42.37,Clear,5.47,1.00,0,0.66,0.34
"03:03:2025, 09:03",CRT,15.00,25.00,20.00,12,261,32.28,49.86,Clear,6.11,1.00,0,0.83,0.41
"03:03:2025, 09:24",PIL,2.00,8.00,6.14,10,406,30.78,39.53,Clear,5.79,1.00,0,0.72,0.61
"03:03:2025, 09:45",COL,2.00,8.00,6.02,12,402,29.43,23.37,Clear,5.93,1.00,0,0.76,0.59
"03:03:2025, 10:06",FRO,-30.00,-18.00,-25.64,15,490,31.46,26.61,Clear,5.71,1.00,0,0.65,0.37
"03:03:2025, 10:27",CRT,15.00,25.00,20.25,13,496,31.34,50.65,Clear,6.26,1.00,0,0.66,0.48
"03:03:2025, 10:48",PIL,2.00,8.00,6.32,14,501,30.14,23.00,Clear,6.67,1.00,0,0.75,0.64
"03:03:2025, 11:09",COL,2.00,8.00,6.37,16,579,28.24,35.00,Clear,5.21,1.00,0,0.75,0.65
"03:03:2025, 11:30",FRO,-30.00,-18.00,-25.80,10,361,30.16,50.99,Clear,6.19,1.00,0,0.60,0.35
"03:03:2025, 11:51",CRT,15.00,25.00,19.81,13,199,29.53,48.33,Clear,6.86,1.00,0,0.71,0.41
"03:03:2025, 12:12",PIL,2.00,8.00,6.00,17,466,27.23,35.07,Clear,4.68,1.00,0,0.66,0.60
"03:03:2025, 12:33",COL,2.00,8.00,6.12,16,519,27.07,29.50,Clear,5.97,1.00,0,0.68,0.62
"03:03:2025, 12:54",FRO,-30.00,-18.00,-25.91,13,291,28.69,39.13,Clear,5.58,1.00,0,0.70,0.33
"03:03:2025, 13:15",CRT,15.00,25.00,20.28,15,548,25.81,41.15,Clear,7.70,1.00,0,0.79,0.45
"03:03:2025, 13:36",PIL,2.00,8.00,5.42,14,226,27.50,30.03,Clear,6.07,1.00,0,0.72,0.51
"03:03:2025, 13:57",COL,2.00,8.00,5.42,7,242,26.90,31.40,Clear,6.62,1.00,0,0.69,0.52
"03:03:2025, 14:18",FRO,-30.00,-18.00,-25.89,12,415,25.31,35.65,Clear,6.60,1.00,0,0.73,0.34
"03:03:2025, 14:39",CRT,15.00,25.00,20.04,17,527,25.07,45.40,Clear,5.98,1.00,0,0.66,0.45
"03:03:2025, 15:00",PIL,2.00,8.00,5.99,14,524,25.26,53.40,Clear,5.51,1.00,0,0.83,0.59
"03:03:2025, 15:21",COL,2.00,8.00,5.41,12,310,24.71,42.16,Clear,6.77,1.00,0,0.71,0.52
"03:03:2025, 15:42",FRO,-30.00,-18.00,-26.14,10,173,24.67,49.15,Clear,6.57,0.99,0,0.88,0.30
"03:03:2025, 16:03",CRT,15.00,25.00,19.75,12,259,26.04,41.36,Clear,6.27,1.00,0,0.68,0.41
"03:03:2025, 16:24",PIL,2.00,8.00,5.58,14,380,24.57,42.03,Clear,5.74,1.00,0,0.62,0.55
"03:03:2025, 16:45",COL,2.00,8.00,5.30,8,214,26.34,54.60,Clear,6.19,1.00,0,0.68,0.50
"03:03:2025, 17:06",FRO,-30.00,-18.00,-25.90,11,292,24.53,31.05,Clear,7.16,1.00,0,0.65,0.33
"03:03:2025, 17:27",CRT,15.00,25.00,20.00,16,541,23.60,24.23,Clear,5.37,1.00,0,0.80,0.43
"03:03:2025, 17:48",PIL,2.00,8.00,9.60,19,650,22.74,32.99,Clear,6.16,1.00,0,0.80,1.00
"03:03:2025, 18:09",COL,2.00,8.00,5.30,10,290,23.96,40.56,Clear,5.07,1.00,0,0.79,0.49
"03:03:2025, 18:30",FRO,-30.00,-18.00,-26.11,9,237,23.49,43.94,Clear,6.86,1.00,0,0.70,0.32
"03:03:2025, 18:51",CRT,15.00,25.00,19.88,11,428,24.10,39.19,Clear,5.27,1.00,0,0.76,0.42
"03:03:2025, 19:12",PIL,2.00,8.00,4.74,4,42,24.63,23.19,Clear,6.64,0.90,0,0.66,0.43
"03:03:2025, 19:33",COL,2.00,8.00,5.65,9,270,24.49,35.10,Clear,7.60,1.00,0,0.65,0.53
"03:03:2025, 19:54",FRO,-30.00,-18.00,-26.13,8,196,24.19,34.56,Clear,5.80,1.00,0,0.79,0.31
"03:03:2025, 20:15",CRT,15.00,25.00,19.68,7,270,24.01,27.73,Clear,5.05,1.00,0,0.85,0.39
"03:03:2025, 20:36",PIL,2.00,8.00,5.13,8,203,24.52,42.01,Clear,6.53,1.00,0,0.69,0.48
"03:03:2025, 20:57",COL,2.00,8.00,4.62,1,7,24.32,34.13,Clear,6.29,0.87,0,0.75,0.41
"03:03:2025, 21:18",FRO,-30.00,-18.00,-26.22,3,93,24.51,43.15,Clear,5.77,0.93,0,0.79,0.28
"03:03:2025, 21:39",CRT,15.00,25.00,19.53,5,77,26.22,23.92,Clear,5.44,0.95,0,0.72,0.37
"03:03:2025, 22:00",PIL,2.00,8.00,5.24,9,207,25.73,38.81,Clear,6.02,1.00,0,0.63,0.50
"03:03:2025, 22:21",COL,2.00,8.00,5.04,5,98,26.65,26.31,Clear,5.79,0.97,0,0.83,0.43
"03:03:2025, 22:42",FRO,-30.00,-18.00,-26.10,6,158,26.38,47.39,Clear,6.50,1.00,0,0.75,0.31
"03:03:2025, 23:03",CRT,15.00,25.00,19.61,1,110,27.24,39.67,Clear,5.10,0.99,0,0.75,0.38
"03:03:2025, 23:24",PIL,2.00,8.00,4.99,4,69,26.95,26.95,Clear,5.15,0.96,0,0.84,0.42
"03:03:2025, 23:45",COL,2.00,8.00,5.34,10,245,25.84,37.16,Clear,6.13,1.00,0,0.77,0.50
"04:03:2025, 00:06",FRO,-30.00,-18.00,-25.88,9,325,28.47,23.27,Clear,5.51,1.00,0,0.74,0.33
"04:03:2025, 00:27",CRT,15.00,25.00,19.64,3,109,28.21,43.01,Clear,5.39,1.00,0,0.77,0.39
"04:03:2025, 00:48",PIL,2.00,8.00,5.14,5,51,29.41,23.38,Clear,6.01,0.99,0,0.77,0.46
"04:03:2025, 01:09",COL,2.00,8.00,5.14,5,86,28.36,33.54,Clear,6.45,1.00,0,0.85,0.45
"04:03:2025, 01:30",FRO,-30.00,-18.00,-25.90,10,260,29.87,30.75,Clear,6.48,1.00,0,0.80,0.33
"04:03:2025, 01:51",CRT,15.00,25.00,19.79,5,207,28.86,42.30,Clear,6.42,1.00,0,0.85,0.39
"04:03:2025, 02:12",PIL,2.00,8.00,6.15,12,450,29.55,54.34,Clear,6.65,1.00,0,0.87,0.60
"04:03:2025, 02:33",COL,2.00,8.00,5.36,5,97,30.75,26.23,Clear,6.36,1.00,0,0.74,0.49
"04:03:2025, 02:54",FRO,-30.00,-18.00,-25.98,5,124,31.44,53.12,Clear,5.03,1.00,0,0.72,0.32
