timestamp,SHC_code,target_temp_min,target_temp_max,current_internal_temp,door_open_count_1h,cumulative_door_open_duration_1h,ambient_dry_bulb_temp,external_relative_humidity,weather_condition,equipment_age_years,compressor_duty_cycle_ratio_2h,defrost_cycle_active,cargo_volume_utilization_ratio,excursion_risk_score
"11:09:2025, 20:21",COL,2.0,8.0,6.27,3,80,38.09,49.72,Clear,8.82,1.0,0,0.38,0.62
"03:01:2026, 05:15",CRT,15.0,25.0,19.83,13,436,22.67,63.61,Cloudy,2.37,1.0,0,0.51,0.44
"02:01:2026, 10:00",PIL,2.0,8.0,4.67,10,187,19.26,49.72,Cloudy,3.62,0.9,0,0.65,0.44
"03:06:2025, 16:12",PIL,2.0,8.0,7.58,18,480,37.79,94.06,Rainy,4.95,1.0,0,0.79,0.92
"09:06:2025, 11:51",CRT,15.0,25.0,20.66,10,298,42.1,97.79,Rainy,3.1,1.0,1,0.57,0.71
"22:06:2025, 01:12",PIL,2.0,8.0,6.26,3,51,43.39,41.06,Clear,2.21,1.0,0,0.43,0.64
"04:07:2025, 14:54",FRO,-30.0,-18.0,-25.52,13,362,39.24,41.79,Clear,2.06,1.0,0,0.91,0.35
"05:06:2025, 23:09",COL,2.0,8.0,6.67,1,112,41.17,94.47,Rainy,4.57,1.0,1,0.83,0.87
"02:04:2025, 11:27",CRT,15.0,25.0,20.32,15,517,27.88,14.27,Sandstorm,7.95,1.0,0,0.86,0.45
"23:08:2025, 21:00",PIL,2.0,8.0,5.94,3,57,39.24,61.45,Cloudy,4.89,1.0,0,0.53,0.59
"04:12:2025, 20:42",FRO,-30.0,-18.0,-26.28,8,333,15.03,33.44,Clear,2.75,0.93,0,0.68,0.3
"19:07:2025, 07:42",FRO,-30.0,-18.0,-25.47,11,259,44.14,51.62,Clear,1.51,1.0,0,0.44,0.39
"27:08:2025, 01:39",CRT,15.0,25.0,20.55,6,262,41.56,51.06,Cloudy,7.33,1.0,0,0.77,0.47
"26:10:2025, 20:27",CRT,15.0,25.0,19.61,4,197,24.54,16.08,Sandstorm,5.59,1.0,0,0.93,0.37
"07:03:2025, 04:03",CRT,15.0,25.0,20.03,8,329,31.08,23.88,Clear,5.37,1.0,0,0.65,0.44
"26:09:2025, 01:57",COL,2.0,8.0,6.93,10,179,43.26,40.89,Clear,8.17,1.0,0,0.86,0.65
"18:01:2026, 05:03",CRT,15.0,25.0,19.66,10,357,20.93,16.86,Sandstorm,5.55,1.0,0,0.88,0.39
"15:12:2025, 07:39",CRT,15.0,25.0,19.88,12,530,20.99,44.44,Cloudy,1.47,1.0,0,0.47,0.45
"29:08:2025, 15:36",PIL,2.0,8.0,7.4,16,504,38.98,33.41,Clear,7.44,1.0,0,0.82,0.74
"28:07:2025, 20:57",COL,2.0,8.0,6.11,5,134,38.93,54.95,Clear,3.71,1.0,0,0.77,0.58
"31:01:2026, 15:45",COL,2.0,8.0,4.56,12,258,15.68,46.04,Cloudy,5.89,0.89,0,0.59,0.45
"27:03:2025, 07:45",COL,2.0,8.0,6.23,10,258,32.07,15.06,Sandstorm,9.12,1.0,0,0.38,0.63
"10:04:2025, 16:30",FRO,-30.0,-18.0,-25.83,12,406,23.29,58.63,Cloudy,9.38,1.0,0,0.68,0.33
"20:02:2026, 05:27",CRT,15.0,25.0,19.43,3,19,21.07,25.23,Clear,8.64,1.0,0,0.87,0.34
"14:11:2025, 08:36",PIL,2.0,8.0,5.09,8,299,20.99,40.73,Clear,3.88,1.0,0,0.48,0.5
"12:05:2025, 12:12",PIL,2.0,8.0,7.2,12,308,42.62,26.86,Clear,7.68,1.0,0,0.51,0.74
"20:06:2025, 00:33",COL,2.0,8.0,6.36,8,153,41.47,62.07,Cloudy,2.52,1.0,0,0.46,0.65
"07:11:2025, 09:18",FRO,-30.0,-18.0,-26.14,9,253,22.26,28.75,Clear,4.79,1.0,0,0.53,0.33
"14:09:2025, 21:30",FRO,-30.0,-18.0,-25.71,2,19,39.14,22.0,Clear,10.12,1.0,0,0.46,0.34
"24:06:2025, 21:06",FRO,-30.0,-18.0,-25.79,5,85,39.0,43.33,Clear,1.79,1.0,0,0.54,0.35
"14:05:2025, 09:00",PIL,2.0,8.0,7.31,11,452,44.06,42.31,Clear,6.24,1.0,0,0.54,0.78
"13:02:2026, 05:48",PIL,2.0,8.0,4.88,8,87,20.49,53.6,Clear,7.41,1.0,0,0.47,0.46
"03:01:2026, 21:42",FRO,-30.0,-18.0,-26.34,7,253,15.57,69.59,Cloudy,2.9,0.88,0,0.57,0.29
"11:03:2025, 16:33",COL,2.0,8.0,5.46,14,322,24.91,37.39,Clear,6.24,1.0,0,0.76,0.52
"24:11:2025, 09:24",PIL,2.0,8.0,5.16,10,330,20.94,26.89,Clear,3.33,1.0,0,0.69,0.49
"26:04:2025, 02:48",PIL,2.0,8.0,5.85,13,199,29.13,41.04,Clear,8.41,1.0,0,0.54,0.56
"26:01:2026, 05:54",FRO,-30.0,-18.0,-26.21,5,216,20.85,45.77,Cloudy,6.15,0.95,0,0.79,0.29
"23:07:2025, 04:48",PIL,2.0,8.0,6.41,2,47,45.42,47.29,Clear,3.34,1.0,0,0.38,0.66
"04:05:2025, 05:45",COL,2.0,8.0,6.75,2,41,45.39,28.55,Clear,8.0,1.0,0,0.9,0.62
"25:01:2026, 19:03",CRT,15.0,25.0,19.14,3,122,15.31,53.06,Cloudy,5.64,0.79,0,0.93,0.29
"18:04:2025, 21:12",PIL,2.0,8.0,5.33,4,114,25.33,29.06,Clear,8.96,1.0,0,0.3,0.52
"08:10:2025, 12:51",CRT,15.0,25.0,20.1,12,347,27.54,42.35,Cloudy,8.27,1.0,0,0.54,0.44
"15:10:2025, 20:54",FRO,-30.0,-18.0,-25.95,8,229,24.83,23.88,Sandstorm,9.64,1.0,0,0.32,0.34
"16:12:2025, 21:06",FRO,-30.0,-18.0,-26.54,2,59,14.83,49.7,Cloudy,2.28,0.73,0,0.52,0.25
"26:09:2025, 07:54",FRO,-30.0,-18.0,-25.29,7,262,45.71,40.78,Clear,8.44,1.0,0,0.8,0.36
"12:01:2026, 01:42",FRO,-30.0,-18.0,-26.19,11,291,19.3,18.05,Sandstorm,3.95,0.98,0,0.49,0.32
"23:11:2025, 15:33",COL,2.0,8.0,4.64,14,289,15.74,54.26,Clear,3.46,0.91,0,0.94,0.41
"12:11:2025, 09:00",PIL,2.0,8.0,5.54,16,470,21.36,38.36,Clear,4.02,1.0,0,0.36,0.59
"22:01:2026, 22:48",PIL,2.0,8.0,4.54,9,220,16.62,27.55,Sandstorm,5.54,0.88,0,0.78,0.42
"22:09:2025, 12:12",PIL,2.0,8.0,6.99,10,276,41.03,32.47,Clear,8.92,1.0,0,0.65,0.69
"25:12:2025, 07:03",CRT,15.0,25.0,19.44,5,109,23.02,14.48,Sandstorm,2.31,0.92,0,0.88,0.34
"20:04:2025, 22:12",PIL,2.0,8.0,5.68,7,227,26.14,50.61,Clear,9.62,1.0,0,0.6,0.54
"08:12:2025, 04:09",COL,2.0,8.0,5.03,9,263,21.46,45.79,Clear,0.5,1.0,0,0.61,0.48
"15:10:2025, 07:57",COL,2.0,8.0,5.71,4,54,31.88,17.72,Sandstorm,8.46,1.0,0,0.51,0.54
"22:04:2025, 08:09",COL,2.0,8.0,6.51,16,410,30.8,41.78,Clear,8.83,1.0,0,0.48,0.66
"27:06:2025, 11:24",PIL,2.0,8.0,6.64,12,250,41.88,41.6,Clear,2.53,1.0,0,0.79,0.65
"28:11:2025, 04:45",COL,2.0,8.0,4.79,5,149,21.95,37.18,Clear,2.3,0.93,0,0.9,0.41
"23:08:2025, 14:42",FRO,-30.0,-18.0,-25.57,12,324,38.84,68.71,Cloudy,6.33,1.0,0,0.57,0.37
"03:07:2025, 00:24",PIL,2.0,8.0,6.67,12,262,41.91,41.33,Clear,1.66,1.0,0,0.95,0.64
"29:11:2025, 01:24",PIL,2.0,8.0,4.85,7,218,20.51,52.93,Clear,2.13,0.95,0,0.92,0.42
"31:05:2025, 04:33",COL,2.0,8.0,6.77,10,189,45.5,15.28,Sandstorm,3.64,1.0,0,0.73,0.67
"07:11:2025, 11:24",PIL,2.0,8.0,5.18,13,362,20.25,50.17,Clear,5.41,1.0,0,0.62,0.5
"27:08:2025, 19:51",CRT,15.0,25.0,20.12,5,33,37.88,60.9,Cloudy,7.26,1.0,0,0.73,0.41
"20:12:2025, 13:18",FRO,-30.0,-18.0,-26.05,12,480,18.1,64.53,Cloudy,4.07,1.0,0,0.63,0.34
"13:03:2025, 15:06",FRO,-30.0,-18.0,-25.68,12,479,25.85,59.86,Cloudy,7.36,1.0,0,0.82,0.34
"15:08:2025, 19:06",FRO,-30.0,-18.0,-25.52,6,201,38.94,94.52,Rainy,5.96,1.0,1,0.32,0.52
"04:09:2025, 23:30",FRO,-30.0,-18.0,-25.6,4,62,41.48,34.07,Clear,7.61,1.0,0,0.55,0.35
"20:10:2025, 00:18",FRO,-30.0,-18.0,-25.69,11,389,28.45,18.07,Sandstorm,7.81,1.0,0,0.67,0.34
"03:09:2025, 01:18",FRO,-30.0,-18.0,-25.48,4,162,42.53,42.94,Clear,8.2,1.0,0,0.8,0.34
"14:01:2026, 14:36",PIL,2.0,8.0,4.38,8,184,15.74,13.42,Sandstorm,3.58,0.84,0,0.51,0.44
"22:07:2025, 00:27",CRT,15.0,25.0,20.2,5,103,42.39,52.2,Clear,3.58,1.0,0,0.56,0.46
"13:05:2025, 10:15",CRT,15.0,25.0,20.6,15,348,44.63,28.51,Clear,6.09,1.0,0,0.52,0.53
"11:11:2025, 11:18",FRO,-30.0,-18.0,-26.19,12,302,18.99,51.99,Clear,2.79,0.98,0,0.47,0.33
"02:01:2026, 09:18",FRO,-30.0,-18.0,-25.99,17,457,20.67,54.13,Cloudy,2.68,1.0,0,0.74,0.33
"20:12:2025, 07:21",COL,2.0,8.0,5.13,9,308,21.25,41.28,Cloudy,2.1,1.0,0,0.8,0.47
"23:02:2026, 15:21",COL,2.0,8.0,4.85,10,224,15.89,46.01,Clear,8.75,1.0,0,0.9,0.42
"25:08:2025, 03:06",FRO,-30.0,-18.0,-25.56,4,41,43.67,42.65,Cloudy,7.31,1.0,0,0.7,0.34
"28:10:2025, 05:21",COL,2.0,8.0,5.56,5,130,32.21,68.26,Cloudy,6.64,1.0,0,0.83,0.51
"14:07:2025, 20:57",COL,2.0,8.0,6.04,3,76,39.87,34.09,Clear,3.34,1.0,0,0.38,0.62
"17:10:2025, 17:00",PIL,2.0,8.0,6.15,11,493,23.69,12.79,Sandstorm,7.46,1.0,0,0.41,0.63
"20:09:2025, 11:12",PIL,2.0,8.0,6.72,4,128,42.28,31.93,Clear,8.85,1.0,0,0.74,0.64
"23:08:2025, 20:18",FRO,-30.0,-18.0,-25.54,9,372,38.44,44.84,Cloudy,6.58,1.0,0,0.76,0.36
"26:06:2025, 23:51",CRT,15.0,25.0,20.1,3,47,41.57,31.8,Clear,2.91,1.0,0,0.54,0.44
"08:02:2026, 00:09",COL,2.0,8.0,4.5,0,29,17.65,28.56,Clear,7.29,0.94,0,0.36,0.45
"20:02:2026, 02:39",CRT,15.0,25.0,19.58,6,297,20.8,44.78,Clear,6.58,1.0,0,0.74,0.39
"14:06:2025, 09:48",PIL,2.0,8.0,7.69,14,311,44.23,95.62,Rainy,2.58,1.0,0,0.6,0.96
"25:01:2026, 12:45",COL,2.0,8.0,4.91,8,300,18.74,65.05,Cloudy,5.28,0.98,0,0.9,0.44
"11:09:2025, 12:18",FRO,-30.0,-18.0,-25.33,8,333,42.12,52.42,Clear,9.52,1.0,0,0.53,0.38
"17:07:2025, 18:15",CRT,15.0,25.0,20.43,10,385,39.27,51.1,Clear,2.4,1.0,0,0.45,0.51
"21:01:2026, 12:09",COL,2.0,8.0,4.56,8,206,17.3,19.85,Sandstorm,6.18,0.88,0,0.75,0.42
"04:06:2025, 12:09",COL,2.0,8.0,7.68,12,398,41.34,97.06,Rainy,5.8,1.0,0,0.85,0.92
"22:05:2025, 23:09",COL,2.0,8.0,6.17,9,107,40.59,68.62,Cloudy,5.82,1.0,0,0.38,0.64
"04:06:2025, 00:15",CRT,15.0,25.0,20.47,4,161,41.77,99.7,Rainy,4.24,1.0,1,0.79,0.64
"16:10:2025, 21:45",COL,2.0,8.0,5.2,3,97,24.25,20.71,Sandstorm,7.61,1.0,0,0.39,0.49
"04:10:2025, 20:18",FRO,-30.0,-18.0,-25.81,9,405,23.89,47.02,Clear,7.73,1.0,0,0.67,0.34
"22:04:2025, 15:09",COL,2.0,8.0,5.88,12,352,24.7,42.9,Clear,8.39,1.0,0,0.33,0.6
"24:06:2025, 00:06",FRO,-30.0,-18.0,-25.4,11,424,41.33,45.13,Clear,1.73,1.0,0,0.6,0.39
"28:08:2025, 20:42",FRO,-30.0,-18.0,-25.61,8,133,39.07,46.72,Cloudy,7.61,1.0,0,0.85,0.33
"13:04:2025, 08:54",FRO,-30.0,-18.0,-25.86,10,139,30.39,37.69,Clear,9.52,1.0,0,0.51,0.33
"28:03:2025, 22:15",CRT,15.0,25.0,19.73,7,141,24.86,27.43,Sandstorm,8.12,1.0,0,0.49,0.4
"22:06:2025, 21:51",CRT,15.0,25.0,20.12,6,129,39.43,32.99,Clear,3.68,1.0,0,0.39,0.47
"19:07:2025, 00:42",FRO,-30.0,-18.0,-25.67,5,128,41.83,28.54,Clear,3.54,1.0,0,0.37,0.37
"27:09:2025, 05:15",CRT,15.0,25.0,20.64,8,251,44.15,53.21,Clear,9.78,1.0,0,0.9,0.47
"19:12:2025, 16:39",CRT,15.0,25.0,19.26,8,210,15.33,64.5,Cloudy,1.45,0.85,0,0.59,0.35
"28:05:2025, 21:15",CRT,15.0,25.0,24.21,15,618,38.96,40.33,Cloudy,5.7,1.0,0,0.81,0.92
"18:06:2025, 22:39",CRT,15.0,25.0,19.96,1,24,38.8,54.98,Cloudy,2.84,1.0,0,0.45,0.44
"20:08:2025, 07:36",PIL,2.0,8.0,7.5,7,161,45.53,99.72,Rainy,7.79,1.0,1,0.32,1.0
"02:08:2025, 14:00",PIL,2.0,8.0,6.72,13,360,39.53,53.72,Cloudy,3.44,1.0,0,0.75,0.67
"02:10:2025, 19:18",FRO,-30.0,-18.0,-26.06,5,172,22.74,50.96,Clear,9.1,1.0,0,0.88,0.29
"24:12:2025, 15:39",CRT,15.0,25.0,19.77,18,571,16.94,12.79,Sandstorm,2.96,1.0,0,0.78,0.42
"24:04:2025, 02:30",FRO,-30.0,-18.0,-25.69,9,303,31.14,39.37,Clear,9.14,1.0,0,0.5,0.35
"31:12:2025, 03:45",COL,2.0,8.0,4.57,3,113,20.35,15.19,Sandstorm,2.15,0.87,0,0.65,0.43
"15:09:2025, 11:09",COL,2.0,8.0,7.03,15,379,42.79,25.62,Clear,6.96,1.0,0,0.46,0.75
"12:10:2025, 12:45",COL,2.0,8.0,5.96,14,388,29.1,62.55,Cloudy,6.19,1.0,0,0.4,0.63
"24:07:2025, 17:54",FRO,-30.0,-18.0,-25.32,15,599,38.73,49.53,Clear,4.03,1.0,0,0.47,0.41
"15:06:2025, 10:18",FRO,-30.0,-18.0,-25.48,11,294,42.73,59.87,Cloudy,2.83,1.0,0,0.42,0.39
"15:12:2025, 12:33",COL,2.0,8.0,4.69,7,208,18.82,67.35,Cloudy,3.42,0.91,0,0.52,0.46
"06:06:2025, 04:24",PIL,2.0,8.0,6.94,4,116,44.42,89.65,Rainy,3.66,1.0,1,0.78,0.92
"12:02:2026, 07:45",COL,2.0,8.0,5.36,7,226,22.14,46.64,Clear,8.79,1.0,0,0.43,0.52
"21:03:2025, 19:27",CRT,15.0,25.0,19.78,5,175,25.09,42.8,Cloudy,7.28,1.0,0,0.4,0.42
"14:04:2025, 20:57",COL,2.0,8.0,5.63,8,240,25.15,23.68,Clear,9.77,1.0,0,0.55,0.54
"11:11:2025, 06:45",COL,2.0,8.0,5.06,6,265,21.66,44.14,Clear,3.83,1.0,0,0.42,0.51
"26:02:2026, 05:18",FRO,-30.0,-18.0,-25.97,11,281,22.27,31.32,Clear,8.94,1.0,0,0.84,0.31
"21:04:2025, 15:21",COL,2.0,8.0,10.15,17,638,25.49,38.92,Clear,9.33,1.0,0,0.36,1.0
"28:06:2025, 07:42",FRO,-30.0,-18.0,-25.69,1,24,44.4,54.26,Clear,3.02,1.0,0,0.77,0.34
"13:07:2025, 08:12",PIL,2.0,8.0,7.01,10,303,44.9,38.09,Clear,1.8,1.0,0,0.58,0.73
"20:03:2025, 15:06",FRO,-30.0,-18.0,-25.6,14,566,25.86,56.61,Cloudy,7.57,1.0,0,0.47,0.37
"17:07:2025, 22:06",FRO,-30.0,-18.0,-25.73,8,106,40.38,23.6,Clear,4.65,1.0,0,0.36,0.37
"03:05:2025, 18:12",PIL,2.0,8.0,6.67,12,265,37.31,28.04,Clear,7.71,1.0,0,0.8,0.63
"28:03:2025, 13:09",COL,2.0,8.0,10.38,18,680,27.05,17.17,Sandstorm,8.18,1.0,0,0.53,1.0
"23:02:2026, 18:51",CRT,15.0,25.0,19.5,12,271,14.98,33.99,Clear,8.94,1.0,0,0.85,0.36
"26:09:2025, 16:18",FRO,-30.0,-18.0,-25.39,15,384,38.41,48.2,Clear,8.93,1.0,0,0.89,0.35
"13:06:2025, 23:18",FRO,-30.0,-18.0,-25.48,5,191,40.43,92.82,Rainy,2.48,1.0,1,0.52,0.51
"11:05:2025, 08:54",FRO,-30.0,-18.0,-25.2,16,588,42.85,34.19,Clear,6.48,1.0,0,0.75,0.4
"12:04:2025, 08:45",COL,2.0,8.0,6.3,13,303,31.52,34.71,Clear,10.12,1.0,0,0.79,0.59
"06:06:2025, 03:42",FRO,-30.0,-18.0,-25.36,5,228,43.27,85.58,Rainy,3.54,1.0,1,0.75,0.5
"22:07:2025, 01:09",COL,2.0,8.0,6.37,4,112,42.93,40.84,Clear,3.62,1.0,0,0.55,0.64
"19:05:2025, 00:18",FRO,-30.0,-18.0,-25.57,9,249,41.31,22.29,Clear,6.74,1.0,0,0.4,0.38
"21:04:2025, 17:27",CRT,15.0,25.0,19.79,10,192,24.75,47.93,Clear,8.49,1.0,0,0.33,0.43
"02:09:2025, 13:24",PIL,2.0,8.0,7.58,14,521,40.75,51.76,Clear,7.88,1.0,0,0.79,0.76
"14:09:2025, 15:33",COL,2.0,8.0,6.77,11,291,37.73,51.8,Clear,10.94,1.0,0,0.42,0.69
"19:02:2026, 09:51",CRT,15.0,25.0,19.86,12,377,20.83,49.18,Clear,10.08,1.0,0,0.83,0.39
"10:08:2025, 06:27",CRT,15.0,25.0,20.5,3,74,45.14,88.88,Rainy,4.45,1.0,1,0.5,0.68
"12:11:2025, 17:24",PIL,2.0,8.0,5.03,15,471,14.9,26.34,Clear,3.51,1.0,0,0.36,0.52
"09:05:2025, 04:24",PIL,2.0,8.0,6.52,4,153,43.52,47.77,Clear,6.02,1.0,0,0.76,0.64
"02:12:2025, 16:12",PIL,2.0,8.0,5.27,16,537,15.82,24.66,Clear,2.49,1.0,0,0.76,0.51
"22:03:2025, 12:15",CRT,15.0,25.0,20.28,12,456,28.81,17.46,Sandstorm,7.72,1.0,0,0.57,0.47
"03:01:2026, 14:21",COL,2.0,8.0,5.21,13,519,15.7,47.62,Cloudy,2.82,1.0,0,0.49,0.53
"08:03:2025, 19:36",PIL,2.0,8.0,5.36,14,278,25.1,46.26,Clear,6.78,1.0,0,0.82,0.5
"26:10:2025, 21:51",CRT,15.0,25.0,19.72,6,142,24.52,26.49,Sandstorm,7.33,1.0,0,0.95,0.36
"26:10:2025, 13:27",CRT,15.0,25.0,20.16,12,439,26.4,15.52,Sandstorm,7.59,1.0,0,0.98,0.41
"09:10:2025, 10:12",PIL,2.0,8.0,6.49,16,462,28.96,62.26,Cloudy,7.57,1.0,0,0.63,0.65
"19:01:2026, 20:15",CRT,15.0,25.0,19.29,6,196,16.55,24.01,Sandstorm,5.03,0.86,0,0.61,0.35
"01:12:2025, 05:12",PIL,2.0,8.0,5.02,7,215,22.8,28.34,Clear,2.2,0.99,0,0.59,0.47
"12:04:2025, 01:45",COL,2.0,8.0,6.11,7,338,28.05,30.75,Clear,10.22,1.0,0,0.69,0.58
"29:09:2025, 17:27",CRT,15.0,25.0,20.55,17,341,39.11,22.51,Clear,10.06,1.0,0,0.98,0.46
"11:04:2025, 10:42",FRO,-30.0,-18.0,-25.79,12,274,28.74,49.09,Cloudy,9.06,1.0,0,0.69,0.33
"20:09:2025, 19:57",COL,2.0,8.0,6.6,5,226,37.71,25.24,Clear,9.48,1.0,0,0.58,0.65
"23:02:2026, 05:54",FRO,-30.0,-18.0,-25.84,10,444,21.69,51.22,Clear,8.66,1.0,0,0.74,0.33
"12:06:2025, 18:57",COL,2.0,8.0,7.84,13,414,36.94,88.96,Rainy,1.45,1.0,1,0.52,1.0
"04:12:2025, 02:09",COL,2.0,8.0,4.81,9,213,20.16,51.39,Clear,2.42,0.94,0,0.54,0.46
"04:08:2025, 22:21",COL,2.0,8.0,7.44,7,337,40.83,86.96,Rainy,3.82,1.0,0,0.66,0.91
"06:08:2025, 02:00",PIL,2.0,8.0,7.01,9,193,42.9,96.36,Rainy,4.48,1.0,1,0.87,0.92
"08:01:2026, 05:39",CRT,15.0,25.0,19.41,5,127,21.7,46.9,Cloudy,3.6,0.91,0,0.46,0.38
"15:09:2025, 15:00",PIL,2.0,8.0,6.49,7,113,39.84,36.12,Clear,7.69,1.0,0,0.29,0.66
"06:01:2026, 23:33",COL,2.0,8.0,4.53,4,148,18.69,65.23,Cloudy,2.89,0.87,0,0.42,0.46
"15:06:2025, 12:03",CRT,15.0,25.0,20.64,13,467,41.99,46.13,Cloudy,0.73,1.0,0,0.54,0.54
"17:05:2025, 15:45",COL,2.0,8.0,7.09,14,414,37.96,24.61,Clear,7.16,1.0,0,0.54,0.73
"24:02:2026, 03:36",PIL,2.0,8.0,5.64,10,344,21.95,23.84,Clear,8.45,1.0,0,0.87,0.51
"23:04:2025, 13:33",COL,2.0,8.0,6.49,13,496,27.93,41.17,Clear,8.2,1.0,0,0.5,0.66
"30:10:2025, 03:54",FRO,-30.0,-18.0,-25.63,11,393,30.32,60.54,Cloudy,7.03,1.0,0,0.78,0.34
"28:08:2025, 07:45",COL,2.0,8.0,7.3,7,269,45.1,45.02,Cloudy,8.87,1.0,0,0.87,0.7
"29:06:2025, 15:54",FRO,-30.0,-18.0,-25.69,11,192,38.92,32.67,Clear,0.5,1.0,0,0.73,0.34
"14:03:2025, 23:39",CRT,15.0,25.0,19.86,5,206,25.98,64.79,Cloudy,7.39,1.0,0,0.53,0.41
"28:08:2025, 18:36",PIL,2.0,8.0,7.36,15,567,36.54,54.14,Cloudy,7.11,1.0,0,0.96,0.72
"27:03:2025, 12:18",FRO,-30.0,-18.0,-21.78,21,846,27.77,27.9,Sandstorm,8.43,1.0,0,0.37,0.92
"25:09:2025, 05:39",CRT,15.0,25.0,20.69,7,276,44.6,27.7,Clear,9.1,1.0,0,0.56,0.51
"17:11:2025, 06:57",COL,2.0,8.0,4.64,4,88,21.96,41.42,Clear,3.57,0.88,0,0.63,0.43
"14:05:2025, 00:36",PIL,2.0,8.0,6.57,6,250,41.07,26.2,Clear,6.52,1.0,0,0.42,0.69
"31:10:2025, 20:30",FRO,-30.0,-18.0,-25.91,10,352,26.8,55.57,Cloudy,6.24,1.0,0,0.81,0.33
"26:03:2025, 11:27",CRT,15.0,25.0,20.23,12,523,29.94,15.5,Sandstorm,6.65,1.0,0,0.52,0.49
"05:03:2025, 17:03",CRT,15.0,25.0,19.62,11,214,24.3,53.77,Clear,5.96,1.0,0,0.75,0.39
"29:07:2025, 03:36",PIL,2.0,8.0,6.65,8,190,43.97,68.44,Cloudy,3.1,1.0,0,0.7,0.66
"02:09:2025, 22:30",FRO,-30.0,-18.0,-25.53,10,224,38.75,36.52,Clear,8.37,1.0,0,0.87,0.34
"25:07:2025, 00:12",PIL,2.0,8.0,6.3,1,113,41.98,35.9,Clear,3.49,1.0,0,0.56,0.63
"14:12:2025, 04:42",FRO,-30.0,-18.0,-26.18,11,257,20.6,65.27,Cloudy,2.09,0.98,0,0.43,0.33
"26:01:2026, 03:27",CRT,15.0,25.0,19.35,6,120,20.54,66.52,Cloudy,6.9,0.88,0,0.74,0.34
"25:04:2025, 04:24",PIL,2.0,8.0,6.22,8,304,30.56,42.29,Clear,8.2,1.0,0,0.32,0.64
"29:12:2025, 07:18",FRO,-30.0,-18.0,-26.1,8,276,22.62,19.56,Sandstorm,2.78,1.0,0,0.75,0.31
"10:02:2026, 14:48",PIL,2.0,8.0,9.43,15,618,17.01,40.34,Clear,7.96,1.0,0,0.55,1.0
"02:07:2025, 17:03",CRT,15.0,25.0,20.45,13,406,39.08,34.2,Clear,2.73,1.0,0,0.77,0.48
"24:02:2026, 10:36",PIL,2.0,8.0,5.98,14,530,20.43,35.97,Clear,8.95,1.0,0,0.76,0.57
"18:09:2025, 18:36",PIL,2.0,8.0,6.69,12,223,38.87,22.99,Clear,9.3,1.0,0,0.49,0.67
"03:04:2025, 06:21",COL,2.0,8.0,5.62,2,12,32.1,55.02,Cloudy,9.45,1.0,0,0.6,0.51
"14:09:2025, 01:54",FRO,-30.0,-18.0,-25.51,5,138,42.19,40.15,Clear,9.24,1.0,0,0.32,0.37
"11:01:2026, 15:54",FRO,-30.0,-18.0,-26.2,16,376,16.41,52.28,Cloudy,3.54,0.99,0,0.46,0.33
"15:02:2026, 11:21",COL,2.0,8.0,5.82,14,505,19.21,49.48,Clear,8.11,1.0,0,0.68,0.56
